no,type,data1,case1,case2,case3,case4,img
143,2,"PSA 상승(Elevated PSA)",무증상,"양성 전립선 비대증, 전립선암, 만성 전립선염",비뇨의학과,"전립선특이항원 상승",2_1.jpg
144,2,"가진통(False labor)","비정상적인 진통, 불규칙적 진통","조산, 만기 정상 분만, 조기 진통",산부인과,,2_2.jpg
145,2,"간질성 방광염(Interstitial Cystitis)","빈뇨, 방광 팽만, 복부 통증, 야간뇨, 긴박뇨","급성 방광염, 골반 염증성 질환",비뇨의학과,"만성 방광염,방광 통증 증후군",2_3.jpg
146,2,"강직성 척추염(Ankylosing spondylitis)","엉덩이 통증, 요통, 어깨의 통증, 관절의 경직, 골반 통증, 말초 통증, 관절통","척추병증, 퇴행성 척추 장애, 요추관 협착증, 포도막염","재활의학과, 류마티스내과","경직성 척추염,강직척추염",2_4.jpg
147,2,"계류 유산(Missed abortion)","복부 통증, 커지지 않는 자궁, 멍, 비정상적 질출혈, 비출혈, 유방의 퇴행, 체중감소",유산,산부인과,,2_5.jpg
148,2,"고관절 이형성증(DDH (developmental dysplasia of the hip))","오리걸음, 귀두가 울혈됨, 다리가 잘 안 벌어짐, 다리의 길이가 틀림","대퇴골두 무혈관성 괴사","정형외과, 소아정형외과","발달성고관절이형성증,발달성고관절탈구,선천성고관절이형성증,선천성고관절탈구,신생아고관절탈구,아기고관절탈구",2_6.jpg
149,2,골괴사(Osteonecrosis),"병적골절, 관절 운동성 감소, 환부 통증, 환부 부종","대퇴골두 무혈관성 괴사",정형외과,"골괴사증,뼈조직 괴사",2_7.jpg
150,2,"골반 염증성 질환(Pelvic inflammatory disease)","열, 골반 통증, 복부 통증, 비정상적 질 분비물, 악취","난소, 난관 이상, 임질, 여성 불임",산부인과,"PID,골반내염증,골반내염증질환,골반염",2_8.jpg
152,2,"과립막 세포종(Granulosa cell tumor)","비정상적 질출혈, 덩어리가 만져짐, 무월경, 복수, 생식기 출혈, 복부 통증, 성조숙증","난소의 양성 종양, 난소암, 생식선 및 생식 세포의 신생물, 난소, 난관 이상",산부인과,,2_10.jpg
153,2,"과민성 방광(Overactive Bladder)",,"급성 방광염, 간질성 방광염, 방광의 신경근육 기능 장애",비뇨의학과,,2_11.jpg
154,2,"급성 방광염(Acute cystitis)","배뇨곤란, 탁한 소변, 골반 통증, 긴박뇨, 빈뇨, 배뇨 시 통증, 작열감","급성 신우신염, 급성 질염, 양성 전립선 비대증, 만성 전립선염",비뇨의학과,"방광 감염,방광 염증,방광염,오줌소태,하부요로감염",2_12.jpg
156,2,난관수종(Hydrosalpinx),"희발월경, 불임, 골반 통증","난소, 난관 이상, 성병, 여성 불임, 임질, 골반 염증성 질환",산부인과,,2_14.jpg
157,2,난산(Dystocia),"비정상적인 진통",다태아,산부인과,이상분만,2_15.jpg
158,2,"난소 낭종(Ovarian cysts)","비정상적 질출혈, 무증상, 복부 압박 증상, 복부 통증, 골반 통증, 생식기 출혈","다낭성 난소 증후군, 난소, 난관 이상, 난소의 양성 종양, 난소암",산부인과,"ovarian cystic tumor,난소 낭성 종양,난소물혹,난소혹",2_16.jpg
159,2,"난소, 난관 이상(Disorders of ovary, fallopian tube)","여드름, 생리불순, 불임","다낭성 난소 증후군, 난소암, 난소 낭종, 여성 불임",산부인과,"나팔관이상,난소이상",2_17.jpg
161,2,"난소의 양성 종양(Benign ovary tumor)","배변장애, 무증상, 복부 통증, 빈뇨, 골반 통증, 복부팽만감, 요통","난소, 난관 이상, 난소 낭종, 다낭성 난소 증후군, 난소암",산부인과,"난소 양성 종양",2_19.jpg
163,2,"다태아(Multifetal pregnancy)",오심,"태반 조기 박리, 자간전증, 자간증, 전치 태반, 이상 태위",산부인과,"쌍둥이,쌍태아,다태임신",2_21.jpg
164,2,"대장암(Colon cancer)","복부 통증, 잔변감, 혈변, 배변습관의 변화, 소화불량, 점액변, 흑색변","변비, 대장 용종, 대장의 양성 종양","소화기내과, 종양내과, 방사선종양학과, 대장항문외과","결장암,대장악성종양,대장암종,대장의 악성신생물",2_22.jpg
166,2,"대퇴골두 무혈관성 괴사(AVN of hip(femoral head))","골반 통증, 양반다리로 앉기힘듬","대퇴 골절",정형외과,"고관절무혈성괴사,대퇴골두무혈성괴사,대퇴골두무혈성괴사증,대퇴골무혈성괴사",2_24.jpg
167,2,"만기 정상 분만(Normal full term spontaneous delivery)",이슬,조산,산부인과,"분만,정상분만,출산",2_25.jpg
169,2,"만성 전립선염(Chronic prostatitis)","배뇨곤란, 긴박뇨, 잔뇨감, 생식기 통증, 골반 통증","양성 전립선 비대증, 전립선암",비뇨의학과,"만성 전립샘염",2_27.jpg
170,2,"면역글로불린 A 신병증(IgA nephropathy)","옆구리 통증, 혈뇨, 고혈압, 단백뇨, 전신 부종","사구체신염, 상기도 감염, 만성 신부전, 신증후군, 신부전","신장내과, 소아신장과","면역글로불린 A 신병증,면역글로빈 A 신병증,버거병,버거스씨병,Bergers disease,IgA 신병증,IgA 신증",2_28.jpg
172,2,무정자증(azoospermia),무증상,"성선기능저하증, 칼만 증후군, 남성 불임","비뇨의학과, 산부인과",희소정자증,2_30.jpg
173,2,"무증상 세균뇨(Asymptomatic bacteriuria)",무증상,"요로 감염, 방광의 신경근육 기능 장애, 당뇨병","감염내과, 비뇨의학과",,2_31.jpg
174,2,"미세변화 신증후군(Minimal change nephrotic syndrome)","두통, 피로감, 단백뇨, 전신 부종",신증후군,"신장내과, 소아신장과",,2_32.jpg
175,2,"방광소장 누공(Vesicointestinal fistula)","배변습관의 변화, 분뇨, 혈뇨","방광질 누공, 크론병, 게실 질환",비뇨의학과,,2_33.jpg
176,2,"방광암(Bladder cancer)","긴박뇨, 하지부종, 골반 통증, 배뇨 시 통증, 덩어리가 만져짐, 혈뇨, 옆구리 통증","방광요관 역류, 배뇨통, 혈뇨","종양내과, 방사선종양학과, 비뇨의학과","Malignant neoplasm of bladder,방광 내 신생물,방광선암",2_34.jpg
177,2,"방광요관 역류(Vesicoureteral reflux)","무증상, 배뇨 시 통증, 빈뇨","요로 감염, 신경인성 방광, 신부전","비뇨의학과, 소아신장과, 소아비뇨의학과",,2_35.jpg
178,2,"방광의 신경근육 기능 장애(Neuromuscular dysfunction of bladder)","소변이 샘, 배뇨 시 통증, 빈뇨, 배뇨곤란","과민성 방광, 저활동성 방광, 신경인성 방광",비뇨의학과,"방광의 신경근 기능장애",2_36.jpg
179,2,"방광질 누공(Vesicovaginal fistula)","배뇨 시 통증, 질에서 소변이 나옴","난산, 자궁경부암, 방광소장 누공, 방광암",비뇨의학과,방광질루,2_37.jpg
180,2,방광탈(Cystocele),"배뇨장애, 소변이 샘, 배뇨곤란","방광질 누공, 폐경, 복압성 요실금, 요실금, 급성 방광염, 방광소장 누공","비뇨의학과, 산부인과","방광낭류,방광류,방광탈출,방광탈출증",2_38.jpg
182,2,"배란통(Ovulation pain)","복부 통증, 오심, 두통",맹장염,산부인과,,2_40.jpg
183,2,변비(Constipation),"복부 통증, 복부팽만감, 잔변감, 항문 통증, 항문출혈","직장암, 대장암, 장폐색, 위장관 기질 종양, 뇌하수체 기능부전, 치핵, 고칼슘혈증","소화기내과, 노년내과, 소아소화기영양과",,2_41.jpg
184,2,"변형성 고관절증(Coxarthrosis)","관절 운동성 감소, 보행이상, 골반 통증","관절염, 골관절염",정형외과,,2_42.jpg
185,2,"복압성 요실금(Stress urinary incontinence)","요통, 배뇨 시 통증, 빈뇨, 소변이 샘, 악취, 진한 소변색, 복부 통증","전립선암, 자궁 탈출증, 완전 척수 손상, 외상에 의한 척수 손상, 급성 질염, 요로 감염",비뇨의학과,"긴장성 요실금,스트레스성 요실금",2_43.jpg
186,2,"분만 후 출혈(Postpartum hemorrhage)","빈맥, 발한, 비정상적 질출혈, 어지러움, 혼돈","다태아, 자궁내막암, 전치 태반",산부인과,산후출혈,2_44.jpg
187,2,"비임균성 요도염(Nongonococcal urethritis)","배뇨곤란, 배뇨 시 통증, 피부소양감, 빈뇨","성병, 임질, 만성 전립선염",비뇨의학과,"비임질성 요도염,성기 클라미디아 감염증,클라미디아",2_45.jpg
188,2,"비정상적 자궁, 질 출혈(Abnormal uterine and vaginal bleeding)","빈맥, 저혈압, 비정상적 질출혈, 어지러움, 가슴 두근거림","자궁의 평활근종, 난소암, 자궁내막암, 자궁경부암, 난소 낭종, 계류 유산, 유산",산부인과,"dysfunctional uterine bleeding,기능성 자궁출혈,부정자궁출혈,자궁 질 출혈,자궁출혈,질출혈",2_46.jpg
189,2,사구체신염(Glomerulonephritis),"혈뇨, 전신 부종, 단백뇨","미세변화 신증후군, 신증후군","신장내과, 소아신장과","급성사구체신염,만성사구체신염,신염,신장염",2_47.jpg
190,2,"사면발이증(Pediculosis pubis)","소양감, 비정상적 질 분비물","트리코모나스증, 비임균성 요도염",피부과,음모슬증,2_48.jpg
191,2,"샅(서혜)육아종(Granuloma inguinale)","물집, 생식기 궤양, 환부의 분비물, 발진","임균성 요도염, 첨형 콘딜로마, 임질, 매독, 후천성 면역결핍증","감염내과, 비뇨의학과, 산부인과","donovanosis,도노반증,사타구니육아종,샅고랑육아종,샅육아종,서혜육아종",2_49.jpg
192,2,"생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma)","변비, 경련, 배뇨장애, 뇌압상승증상, 두통, 구토, 덩어리가 만져짐, 배뇨 시 통증, 감기 증상, 오심","만성 B형 간염, 만성 C형 간염, 급성 C형 간염, 융모막암종, 급성 B형 간염, 난소암","종양내과, 방사선종양학과, 소아청소년종양혈액과","Germ cell tumor,생식세포종,생식세포종양",2_50.jpg
193,2,"서혜부 탈장(Inguinal hernia)","구토, 골반 통증, 음낭 부종","음낭수종, 잠복고환증, 제대 탈장, 재발성 탈장",어린이병원,"사타구니 탈장,샅굴 탈장,샅 탈장,서혜 헤르니아",2_51.jpg
194,2,"선천성 수신증(Congenital hydronephrosis)","농신증, 무증상, 요독증","낭성 신장 질환, 신우요관 폐색, 요관 협착, 방광요관 역류","신생아과, 어린이병원, 소아신장과, 소아비뇨의학과","선천성 물콩팥증",2_52.jpg
196,2,"세균성 이질(Shigellosis)","열, 복부 통증, 설사, 구토, 오심","요독증, 용혈성 요독 증후군, 패혈증",감염내과,"시겔라증,이질",2_54.jpg
197,2,"소변 정체(Retention of urine)","복부 통증, 소변을 볼 수 없음, 방광 팽만","양성 전립선 비대증, 저활동성 방광, 신경인성 방광",비뇨의학과,소변정체증,2_55.jpg
198,2,수신증(Hydronephrosis),"오심, 빈뇨, 배뇨 시 통증, 무증상, 덩어리가 만져짐","요로결석, 요관 협착","비뇨의학과, 소아신장과, 소아비뇨의학과","물콩팥증,요신증",2_56.jpg
200,2,"신경인성 방광(Neurogenic Bladder)",,"방광의 신경근육 기능 장애, 과민성 방광, 저활동성 방광",비뇨의학과,,2_58.jpg
202,2,"신우요관 폐색(UPJ obstruction)","혈뇨, 옆구리 통증, 요로감염, 구토",수신증,"비뇨의학과, 소아비뇨의학과",신우요관폐색증,2_60.jpg
203,2,"신우요관암(Renal pelvis cancer)","요통, 옆구리 통증, 혈뇨","수신증, 신세포암종, 방광암","가정의학과, 종양내과, 비뇨의학과",신우뇨관암,2_61.jpg
204,2,"신장 결석(Renal stone)","구토, 오심, 혈뇨, 옆구리 통증","요관 결석, 요로 감염, 요로결석, 혈뇨","비뇨의학과, 소아비뇨의학과","신결석증,신장결석증,신결석",2_62.jpg
205,2,"신장 이형성증(Renal dysplasia)","신장 발육부전, 납작한 코, 축 쳐진 귀",양수과소증,"어린이병원, 소아비뇨의학과","신장이형성,이형성신장",2_63.jpg
206,2,"신증후성 출혈열(Hemorrhagic fever with renal syndrome)","두통, 식욕부진, 단백뇨, 복부 통증, 열, 요독증, 저혈압, 다뇨",신부전,"감염내과, 신장내과","신증후군 출혈열,신증후출혈열,유행성 출혈열",2_64.jpg
207,2,"아두골반 불균형(Cephalopelvic disproportion)","분만 지연, 활력징후 이상, 자궁 수축, 태아 심박동수 이상","신생아 가사, 난산",산부인과,,2_65.jpg
208,2,"알포트 증후군(Alports syndrome)","단백뇨, 각막 이상, 난청, 망막 이상 , 혈뇨, 수정체 이상, 신증후군, 만성 신부전","만성 신부전, 난청, 신증후군, 감각신경성 난청, 혈뇨","신장내과, 어린이병원","Alport Syndrome,유전성 신장염",2_66.jpg
209,2,야뇨증(Enuresis),"수면 중 소변을 봄, 야뇨증","울혈성 심부전","비뇨의학과, 소아비뇨의학과",유뇨증,2_67.jpg
210,2,"양성 전립선 비대증(Benign prostatic hyperplasia)","지연뇨, 야간뇨, 혈뇨, 배뇨장애, 잔뇨감, 긴박뇨, 빈뇨, 배뇨곤란, 요로감염","만성 전립선염, 전립선암","가정의학과, 비뇨의학과","전립샘의 증식,전립선비대,전립선비대증",2_68.jpg
211,2,양수과소증(Oligohydramnios),"태아 뼈,근육의 기형, 질식, 태반의 조기 박리, 분만 지연, 탯줄의 압박, 임신중 배의 크기가 줄어듦, 양막 유착","태반 조기 박리",산부인과,"양수부족,양수부족증",2_69.jpg
212,2,"양수색전증(Amniotic fluid embolism)","심정지, 저산소증, 호흡곤란, 저혈압, 출혈 경향성","폐부종, 폐 혈전색전증, 파종혈관내응고",산부인과,양수색전,2_70.jpg
213,2,"외음질의 이물(Foreign body in vulva and vagina)","복부 통증, 비정상적 질 분비물","아동 학대, 대장균 감염","산부인과, 응급의학과","질 및 외음부의 이물질",2_71.jpg
214,2,"요관 협착(Ureteral stricture)","옆구리 통증, 복부 통증, 열, 혈뇨, 요로감염","선천성 수신증, 수신증, 신장 결석",비뇨의학과,,2_72.jpg
215,2,"요근 농양(Psoas abscess)","열, 기운없음, 요통, 보행이상, 덩어리가 만져짐, 골반 통증, 식욕부진, 체중감소","당뇨병, 척추 골수염, 결핵, 골수염, 결핵성 복막염, 결핵성 골수염, 결핵성 임파선염",,,2_73.jpg
216,2,"요도 협착(Urethral Stricture)",,임질,비뇨의학과,,2_74.jpg
217,2,요독증(Uremia),"전신 부종, 두통, 출혈 경향성, 피로감, 의식 저하, 피부소양감","신증후성 출혈열, 선천성 수신증",신장내과,,2_75.jpg
218,2,"요로 감염(Urinary tract infection)","잔뇨감, 긴박뇨, 배뇨곤란, 소양감, 오한, 옆구리 통증, 배뇨 시 통증, 열, 배뇨장애, 빈뇨","요관 협착, 급성 방광염, 급성 신우신염, 비임균성 요도염","신장내과, 노년내과, 비뇨의학과, 소아신장과, 소아비뇨의학과",요로염,2_76.jpg
219,2,요로결석(Urolithiasis),"옆구리 통증, 빈뇨, 잔뇨감, 오심, 혈뇨","신장 결석, 요관 결석",비뇨의학과,요로결석증,2_77.jpg
220,2,"요실금(Urinary incontinence)","긴박뇨, 소변이 샘","복압성 요실금, 과민성 방광, 전립선암, 신경인성 방광, 방광질 누공",비뇨의학과,"노인성요실금,노인요실금",2_78.jpg
221,2,"원발성 월경곤란(Primary dysmenorrhea)","요통, 두통, 복부 통증","무월경, 자궁선근증, 자궁내막증, 자궁의 평활근종",산부인과,"생리곤란증,생리통,원발성 월경곤란증,월경곤란,월경곤란증,월경통,일차성 생리통",2_79.jpg
222,2,"월경전 증후군(Premenstrual syndrome)","피부 긴장도 저하, 우울, 요통, 두통, 불안","원발성 월경곤란, 과다월경, 희발월경, 무월경",산부인과,"PMS,생리전 증후군",2_80.jpg
223,2,유산(Abortion),"복부 통증, 비정상적 질출혈","계류 유산, 유산 후 계속되는 임신(다태), 습관성 유산",산부인과,"사산,유발유산,자연유산",2_81.jpg
